Published,Sentiment Score,inverted_score,skewed_score,inverted_skewed_score
2014-09-01,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2015-09-03,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2015-11-26,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2016-01-05,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2016-01-08,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2016-01-14,0.6,0.4,0.36,0.16
2016-01-24,0.5,0.5,0.25,0.25
2016-02-10,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2016-03-11,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2016-04-13,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2016-07-01,0.05,0.95,0.0025,0.9025
2016-12-12,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2016-12-24,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2017-01-06,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2017-02-03,0.7,0.3,0.4899999999999999,0.09
2017-03-20,0.4,0.6,0.16,0.36
2017-05-15,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2017-06-22,0.75,0.25,0.5625,0.0625
2017-08-22,0.2,0.8,0.04,0.6400000000000001
2017-08-24,0.2,0.8,0.04,0.6400000000000001
2017-10-17,0.2,0.8,0.04,0.6400000000000001
2017-11-23,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2018-02-06,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2018-02-09,0.5,0.5,0.25,0.25
2018-03-05,0.2,0.8,0.04,0.6400000000000001
2018-03-20,0.2,0.8,0.04,0.6400000000000001
2018-03-21,0.05,0.95,0.0025,0.9025
2018-03-22,0.05,0.95,0.0025,0.9025
2018-03-25,0.0,1.0,0.0,1.0
2018-04-12,0.75,0.25,0.5625,0.0625
2018-05-09,0.7,0.3,0.4899999999999999,0.09
2018-05-24,0.3,0.7,0.09,0.4899999999999999
2018-05-25,0.2,0.8,0.04,0.6400000000000001
2018-08-08,0.4,0.6,0.16,0.36
2018-08-09,0.2,0.8,0.04,0.6400000000000001
2018-10-23,0.75,0.25,0.5625,0.0625
2019-01-04,0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
2019-03-06,0.5,0.5,0.3400000000000001,0.34
